"X","word","freq","sector","avg.freq"
"4145","process",159,2,83.6666666666667
"11878","process",62,3,83.6666666666667
"15189","process",71,4,83.6666666666667
"19990","process",110,5,83.6666666666667
"24599","process",64,6,83.6666666666667
"18","governments",43,1,83.5
"4133","governments",242,2,83.5
"11870","governments",73,3,83.5
"15246","governments",34,4,83.5
"20003","governments",79,5,83.5
"24628","governments",30,6,83.5
"11","technical",50,1,82.8333333333333
"4147","technical",149,2,82.8333333333333
"11884","technical",58,3,82.8333333333333
"15207","technical",53,4,82.8333333333333
"19997","technical",94,5,82.8333333333333
"24593","technical",93,6,82.8333333333333
"51","open",28,1,81.5
"4142","open",169,2,81.5
"11877","open",62,3,81.5
"15200","open",63,4,81.5
"19995","open",98,5,81.5
"24598","open",69,6,81.5
"4196","aspen",81,2,81
"40","multistakeholder",32,1,77.3333333333333
"4146","multistakeholder",153,2,77.3333333333333
"11868","multistakeholder",82,3,77.3333333333333
"15201","multistakeholder",62,4,77.3333333333333
"19996","multistakeholder",94,5,77.3333333333333
"24611","multistakeholder",41,6,77.3333333333333
"19","new",42,1,75
"4139","new",180,2,75
"11896","new",46,3,75
"15217","new",45,4,75
"20000","new",89,5,75
"24605","new",48,6,75
"7","use",60,1,73.1666666666667
"4157","use",124,2,73.1666666666667
"11900","use",41,3,73.1666666666667
"15176","use",105,4,73.1666666666667
"20007","use",78,5,73.1666666666667
"24624","use",31,6,73.1666666666667
"44","security",31,1,69.8333333333333
"4173","security",100,2,69.8333333333333
"11869","security",77,3,69.8333333333333
"15181","security",87,4,69.8333333333333
"19998","security",91,5,69.8333333333333
"24621","security",33,6,69.8333333333333
"103","right",19,1,67.5
"4149","right",145,2,67.5
"11936","right",30,3,67.5
"15169","right",184,4,67.5
"20197","right",21,5,67.5
"25136","right",6,6,67.5
"32","participation",35,1,67.1666666666667
"4143","participation",165,2,67.1666666666667
"11886","participation",55,3,67.1666666666667
"15218","participation",45,4,67.1666666666667
"20023","participation",60,5,67.1666666666667
"24608","participation",43,6,67.1666666666667
"27","world",37,1,66.8333333333333
"4156","world",126,2,66.8333333333333
"11895","world",47,3,66.8333333333333
"15265","world",31,4,66.8333333333333
"19992","world",106,5,66.8333333333333
"24601","world",54,6,66.8333333333333
"20","organizations",42,1,63.3333333333333
"4187","organizations",88,2,63.3333333333333
"11915","organizations",37,3,63.3333333333333
"15213","organizations",49,4,63.3333333333333
"20015","organizations",69,5,63.3333333333333
"24592","organizations",95,6,63.3333333333333
"98","model",19,1,62.5
"4178","model",92,2,62.5
"11876","model",62,3,62.5
"15222","model",42,4,62.5
"19987","model",125,5,62.5
"24617","model",35,6,62.5
"36","freedom",33,1,62
"4162","freedom",118,2,62
"11910","freedom",38,3,62
"15173","freedom",134,4,62
"20078","freedom",37,5,62
"24797","freedom",12,6,62
"25","need",38,1,61
"4159","need",122,2,61
"11882","need",60,3,61
"15219","need",44,4,61
"19999","need",89,5,61
"24781","need",13,6,61
"265","processes",11,1,59.5
"4171","processes",101,2,59.5
"11887","processes",55,3,59.5
"15257","processes",33,4,59.5
"20004","processes",79,5,59.5
"24595","processes",78,6,59.5
"56","users",27,1,57.3333333333333
"4165","users",112,2,57.3333333333333
"11901","users",41,3,57.3333333333333
"15202","users",59,4,57.3333333333333
"20022","users",62,5,57.3333333333333
"24609","users",43,6,57.3333333333333
"104","role",19,1,55.3333333333333
"4164","role",114,2,55.3333333333333
"11875","role",64,3,55.3333333333333
"15214","role",48,4,55.3333333333333
"20020","role",63,5,55.3333333333333
"24655","role",24,6,55.3333333333333
"741","standards",5,1,54.3333333333333
"4184","standards",89,2,54.3333333333333
"12228","standards",10,3,54.3333333333333
"15210","standards",51,4,54.3333333333333
"20047","standards",47,5,54.3333333333333
"24590","standards",124,6,54.3333333333333
"4","states",65,1,53.8333333333333
"4155","states",126,2,53.8333333333333
"11888","states",54,3,53.8333333333333
"15235","states",38,4,53.8333333333333
"20120","states",28,5,53.8333333333333
"24810","states",12,6,53.8333333333333
"39","government",32,1,53.5
"4151","government",135,2,53.5
"11911","government",38,3,53.5
"15216","government",45,4,53.5
"20061","government",42,5,53.5
"24631","government",29,6,53.5
"96","future",19,1,53.3333333333333
"4175","future",98,2,53.3333333333333
"11873","future",66,3,53.3333333333333
"15339","future",21,4,53.3333333333333
"20001","future",87,5,53.3333333333333
"24630","future",29,6,53.3333333333333
"45","privacy",30,1,52.3333333333333
"4154","privacy",126,2,52.3333333333333
"11954","privacy",27,3,52.3333333333333
"15183","privacy",77,4,52.3333333333333
"20052","privacy",45,5,52.3333333333333
"24924","privacy",9,6,52.3333333333333
"72","social",23,1,52.3333333333333
"4176","social",97,2,52.3333333333333
"11897","social",46,3,52.3333333333333
"15186","social",74,4,52.3333333333333
"20040","social",51,5,52.3333333333333
"24660","social",23,6,52.3333333333333
"38","data",32,1,51.1666666666667
"4158","data",123,2,51.1666666666667
"12058","data",16,3,51.1666666666667
"15195","data",65,4,51.1666666666667
"20044","data",49,5,51.1666666666667
"24662","data",22,6,51.1666666666667
"49","meeting",28,1,51
"4200","meeting",77,2,51
"11874","meeting",65,3,51
"15321","meeting",23,4,51
"19994","meeting",98,5,51
"24751","meeting",15,6,51
"93","economic",19,1,50.3333333333333
"4186","economic",88,2,50.3333333333333
"11879","economic",60,3,50.3333333333333
"15223","economic",41,4,50.3333333333333
"20017","economic",64,5,50.3333333333333
"24627","economic",30,6,50.3333333333333
"28","countries",36,1,49.3333333333333
"4174","countries",98,2,49.3333333333333
"11898","countries",43,3,49.3333333333333
"15237","countries",37,4,49.3333333333333
"20026","countries",59,5,49.3333333333333
"24657","countries",23,6,49.3333333333333
"259","igf",11,1,49.3333333333333
"4148","igf",148,2,49.3333333333333
"11906","igf",39,3,49.3333333333333
"15262","igf",31,4,49.3333333333333
"20056","igf",43,5,49.3333333333333
"24651","igf",24,6,49.3333333333333
"12","brics",49,1,49
"92","community",19,1,49
"4190","community",84,2,49
"11929","community",31,3,49
"15205","community",53,4,49
"20032","community",55,5,49
"24602","community",52,6,49
"94","ecosystem",19,1,49
"4195","ecosystem",82,2,49
"11880","ecosystem",60,3,49
"15224","ecosystem",41,4,49
"20018","ecosystem",64,5,49
"24634","ecosystem",28,6,49
"171","services",15,1,48.8333333333333
"4189","services",85,2,48.8333333333333
"12127","services",13,3,48.8333333333333
"15194","services",66,4,48.8333333333333
"20002","services",87,5,48.8333333333333
"24641","services",27,6,48.8333333333333
"159","civil",15,1,48.6666666666667
"4150","civil",140,2,48.6666666666667
"11963","civil",25,3,48.6666666666667
"15209","civil",51,4,48.6666666666667
"20071","civil",39,5,48.6666666666667
"24661","civil",22,6,48.6666666666667
"14","online",46,1,48.1666666666667
"4205","online",75,2,48.1666666666667
"11914","online",37,3,48.1666666666667
"15190","online",70,4,48.1666666666667
"20038","online",52,5,48.1666666666667
"24917","online",9,6,48.1666666666667
"34","important",34,1,47.6666666666667
"4191","important",84,2,47.6666666666667
"11912","important",38,3,47.6666666666667
"15253","important",33,4,47.6666666666667
"20014","important",69,5,47.6666666666667
"24635","important",28,6,47.6666666666667
"131","national",17,1,46.7142857142857
"3382","national",1,1,46.7142857142857
"4152","national",131,2,46.7142857142857
"11922","national",33,3,46.7142857142857
"15185","national",74,4,46.7142857142857
"20036","national",54,5,46.7142857142857
"24714","national",17,6,46.7142857142857
"17","work",44,1,45.8333333333333
"4236","work",61,2,45.8333333333333
"12012","work",21,3,45.8333333333333
"15204","work",58,4,45.8333333333333
"20045","work",49,5,45.8333333333333
"24610","work",42,6,45.8333333333333
"233","people",12,1,45.3333333333333
"4160","people",120,2,45.3333333333333
"11917","people",35,3,45.3333333333333
"15247","people",34,4,45.3333333333333
"20037","people",54,5,45.3333333333333
"24716","people",17,6,45.3333333333333
"71","policies",23,1,45
"4169","policies",104,2,45
"11981","policies",23,3,45
"15306","policies",25,4,45
"20016","policies",68,5,45
"24640","policies",27,6,45
"21","law",41,1,44.8333333333333
"4183","law",90,2,44.8333333333333
"11891","law",49,3,44.8333333333333
"15242","law",36,4,44.8333333333333
"20082","law",36,5,44.8333333333333
"24713","law",17,6,44.8333333333333
"134","support",17,1,44.6666666666667
"4181","support",91,2,44.6666666666667
"11926","support",33,3,44.6666666666667
"15275","support",29,4,44.6666666666667
"20010","support",76,5,44.6666666666667
"24673","support",22,6,44.6666666666667
"689","iana",5,1,44.5
"4179","iana",91,2,44.5
"11939","iana",29,3,44.5
"15196","iana",65,4,44.5
"20119","iana",28,5,44.5
"24604","iana",49,6,44.5
"162","evolution",15,1,42.5
"4237","evolution",60,2,42.5
"11894","evolution",47,3,42.5
"15252","evolution",33,4,42.5
"20006","evolution",78,5,42.5
"24665","evolution",22,6,42.5
"468","ensure",7,1,41.6666666666667
"4204","ensure",75,2,41.6666666666667
"11903","ensure",40,3,41.6666666666667
"15232","ensure",38,4,41.6666666666667
"20012","ensure",71,5,41.6666666666667
"24689","ensure",19,6,41.6666666666667
"705","multi-stakeholder",5,1,41.6666666666667
"4215","multi-stakeholder",68,2,41.6666666666667
"11881","multi-stakeholder",60,3,41.6666666666667
"15211","multi-stakeholder",50,4,41.6666666666667
"20027","multi-stakeholder",58,5,41.6666666666667
"24916","multi-stakeholder",9,6,41.6666666666667
"65","private",25,1,41.6666666666667
"4170","private",102,2,41.6666666666667
"11924","private",33,3,41.6666666666667
"15248","private",34,4,41.6666666666667
"20053","private",45,5,41.6666666666667
"24842","private",11,6,41.6666666666667
"84","system",21,1,41.6666666666667
"4168","system",105,2,41.6666666666667
"11918","system",35,3,41.6666666666667
"15285","system",28,4,41.6666666666667
"20103","system",32,5,41.6666666666667
"24633","system",29,6,41.6666666666667
"95","free",19,1,40.8333333333333
"4167","free",106,2,40.8333333333333
"11916","free",35,3,40.8333333333333
"15269","free",29,4,40.8333333333333
"20072","free",39,5,40.8333333333333
"24710","free",17,6,40.8333333333333
"127","existing",17,1,40.6666666666667
"4193","existing",83,2,40.6666666666667
"11931","existing",31,3,40.6666666666667
"15261","existing",31,4,40.6666666666667
"20008","existing",76,5,40.6666666666667
"25098","existing",6,6,40.6666666666667
"22","stakeholder",39,1,40.6666666666667
"4207","stakeholder",74,2,40.6666666666667
"12086","stakeholder",15,3,40.6666666666667
"15198","stakeholder",65,4,40.6666666666667
"20110","stakeholder",31,5,40.6666666666667
"24686","stakeholder",20,6,40.6666666666667
"81","group",21,1,40.5
"4188","group",86,2,40.5
"12060","group",16,3,40.5
"15192","group",68,4,40.5
"20301","group",16,5,40.5
"24614","group",36,6,40.5
"64","network",25,1,40.3333333333333
"4222","network",66,2,40.3333333333333
"12062","network",16,3,40.3333333333333
"15256","network",33,4,40.3333333333333
"20013","network",71,5,40.3333333333333
"24623","network",31,6,40.3333333333333
"48","groups",28,1,39.1666666666667
"4197","groups",80,2,39.1666666666667
"12174","groups",11,3,39.1666666666667
"15188","groups",72,4,39.1666666666667
"20209","groups",20,5,39.1666666666667
"24650","groups",24,6,39.1666666666667
"80","different",21,1,37.6666666666667
"4216","different",67,2,37.6666666666667
"11947","different",28,3,37.6666666666667
"15206","different",53,4,37.6666666666667
"20046","different",47,5,37.6666666666667
"24859","different",10,6,37.6666666666667
"418","protection",8,1,37.3333333333333
"4208","protection",73,2,37.3333333333333
"11913","protection",38,3,37.3333333333333
"15197","protection",65,4,37.3333333333333
"20089","protection",34,5,37.3333333333333
"25131","protection",6,6,37.3333333333333
"384","digital",8,1,37.1666666666667
"4163","digital",115,2,37.1666666666667
"11966","digital",25,3,37.1666666666667
"15268","digital",29,4,37.1666666666667
"20097","digital",32,5,37.1666666666667
"24758","digital",14,6,37.1666666666667
"143","level",16,1,36.5
"4192","level",84,2,36.5
"11920","level",34,3,36.5
"15254","level",33,4,36.5
"20083","level",36,5,36.5
"24730","level",16,6,36.5
"577","mechanisms",6,1,36
"4194","mechanisms",83,2,36
"11940","mechanisms",29,3,36
"15255","mechanisms",33,4,36
"20035","mechanisms",54,5,36
"24835","mechanisms",11,6,36
"163","expression",15,1,35.6666666666667
"4199","expression",77,2,35.6666666666667
"11989","expression",22,3,35.6666666666667
"15187","expression",73,4,35.6666666666667
"20252","expression",18,5,35.6666666666667
"24906","expression",9,6,35.6666666666667
"1988","root",2,1,35.5
"4172","root",101,2,35.5
"12066","root",16,3,35.5
"15509","root",13,4,35.5
"22248","root",2,5,35.5
"24594","root",79,6,35.5
"35","technology",34,1,35.3333333333333
"4249","technology",55,2,35.3333333333333
"11996","technology",22,3,35.3333333333333
"15360","technology",20,4,35.3333333333333
"20025","technology",60,5,35.3333333333333
"24682","technology",21,6,35.3333333333333
"63","developing",25,1,35.1666666666667
"4247","developing",55,2,35.1666666666667
"11908","developing",38,3,35.1666666666667
"15301","developing",25,4,35.1666666666667
"20050","developing",46,5,35.1666666666667
"24663","developing",22,6,35.1666666666667
"122","promote",18,1,35.1666666666667
"4219","promote",67,2,35.1666666666667
"11889","promote",50,3,35.1666666666667
"15283","promote",28,4,35.1666666666667
"20093","promote",33,5,35.1666666666667
"24753","promote",15,6,35.1666666666667
"47","content",28,1,35
"4182","content",90,2,35
"12166","content",11,3,35
"15227","content",40,4,35
"20096","content",32,5,35
"24896","content",9,6,35
"30","currculo",35,1,35
"148","respect",16,1,34.6666666666667
"4255","respect",54,2,34.6666666666667
"11883","respect",59,3,34.6666666666667
"15239","respect",37,4,34.6666666666667
"20125","respect",27,5,34.6666666666667
"24754","respect",15,6,34.6666666666667
"364","working",9,1,34.6666666666667
"4201","working",77,2,34.6666666666667
"11950","working",28,3,34.6666666666667
"15229","working",40,4,34.6666666666667
"20166","working",23,5,34.6666666666667
"24625","working",31,6,34.6666666666667
"565","innovation",6,1,34.5
"4214","innovation",68,2,34.5
"11927","innovation",32,3,34.5
"15313","innovation",24,4,34.5
"20031","innovation",56,5,34.5
"24677","innovation",21,6,34.5
"352","netmundial",9,1,34.5
"4300","netmundial",43,2,34.5
"11942","netmundial",29,3,34.5
"15233","netmundial",38,4,34.5
"20011","netmundial",75,5,34.5
"24783","netmundial",13,6,34.5
"177","current",14,1,34.3333333333333
"4210","current",71,2,34.3333333333333
"12002","current",21,3,34.3333333333333
"15251","current",33,4,34.3333333333333
"20028","current",56,5,34.3333333333333
"24824","current",11,6,34.3333333333333
"158","charter",15,1,34.2
"4341","charter",36,2,34.2
"11945","charter",28,3,34.2
"15191","charter",68,4,34.2
"24648","charter",24,6,34.2
"225","following",12,1,34.2
"4221","following",66,2,34.2
"11935","following",30,3,34.2
"15319","following",23,4,34.2
"20069","following",40,5,34.2
"4370","wif",34,2,34
"16","cyberspace",45,1,33.6666666666667
"4441","cyberspace",27,2,33.6666666666667
"11885","cyberspace",56,3,33.6666666666667
"15573","cyberspace",11,4,33.6666666666667
"20454","cyberspace",11,5,33.6666666666667
"24603","cyberspace",52,6,33.6666666666667
"927","participate",4,1,32.8333333333333
"4226","participate",63,2,32.8333333333333
"11948","participate",28,3,32.8333333333333
"15263","participate",31,4,32.8333333333333
"20101","participate",32,5,32.8333333333333
"24612","participate",39,6,32.8333333333333
"5","curriculum",64,1,32.5
"9003","curriculum",1,2,32.5
"768","address",4,1,32
"4243","address",57,2,32
"11997","address",21,3,32
"15231","address",38,4,32
"20070","address",39,5,32
"24619","address",33,6,32
"120","order",18,1,31.5
"4253","order",54,2,31.5
"11899","order",41,3,31.5
"15234","order",38,4,31.5
"20132","order",26,5,31.5
"24801","order",12,6,31.5
"132","organization",17,1,30.8333333333333
"4259","organization",52,2,30.8333333333333
"12153","organization",12,3,30.8333333333333
"15215","organization",46,4,30.8333333333333
"20212","organization",20,5,30.8333333333333
"24613","organization",38,6,30.8333333333333
"641","communications",5,1,30.3333333333333
"4177","communications",95,2,30.3333333333333
"12071","communications",15,3,30.3333333333333
"15260","communications",31,4,30.3333333333333
"20144","communications",24,5,30.3333333333333
"24794","communications",12,6,30.3333333333333
"254","developed",11,1,30.1666666666667
"4246","developed",55,2,30.1666666666667
"11965","developed",25,3,30.1666666666667
"15317","developed",23,4,30.1666666666667
"20060","developed",42,5,30.1666666666667
"24646","developed",25,6,30.1666666666667
"54","framework",27,1,30.1666666666667
"4225","framework",63,2,30.1666666666667
"12019","framework",19,3,30.1666666666667
"15244","framework",35,4,30.1666666666667
"20085","framework",35,5,30.1666666666667
"25906","framework",2,6,30.1666666666667
"82","regional",21,1,30.1666666666667
"4220","regional",67,2,30.1666666666667
"12038","regional",18,3,30.1666666666667
"15249","regional",34,4,30.1666666666667
"20240","regional",19,5,30.1666666666667
"24671","regional",22,6,30.1666666666667
"385","discussion",8,1,30
"4271","discussion",49,2,30
"11938","discussion",29,3,30
"15329","discussion",22,4,30
"20021","discussion",62,5,30
"24860","discussion",10,6,30
"15","trade",46,1,30
"4166","trade",107,2,30
"12769","trade",4,3,30
"16004","trade",6,4,30
"20404","trade",13,5,30
"25423","trade",4,6,30
"4414","wio",30,2,30
"727","relevant",5,1,29.8333333333333
"4280","relevant",47,2,29.8333333333333
"11892","relevant",48,3,29.8333333333333
"15273","relevant",29,4,29.8333333333333
"20084","relevant",36,5,29.8333333333333
"24766","relevant",14,6,29.8333333333333
"346","infrastructure",9,1,29.6666666666667
"4211","infrastructure",71,2,29.6666666666667
"11972","infrastructure",24,3,29.6666666666667
"15947","infrastructure",6,4,29.6666666666667
"20051","infrastructure",46,5,29.6666666666667
"24669","infrastructure",22,6,29.6666666666667
"165","forum",15,1,29
"4264","forum",51,2,29
"11909","forum",38,3,29
"15288","forum",27,4,29
"20138","forum",25,5,29
"24698","forum",18,6,29
"174","accountability",14,1,28.8333333333333
"4228","accountability",62,2,28.8333333333333
"11944","accountability",28,3,28.8333333333333
"15276","accountability",28,4,28.8333333333333
"20143","accountability",24,5,28.8333333333333
"24709","accountability",17,6,28.8333333333333
"26","cooperation",37,1,28.6666666666667
"4468","cooperation",26,2,28.6666666666667
"11907","cooperation",38,3,28.6666666666667
"15290","cooperation",26,4,28.6666666666667
"20228","cooperation",19,5,28.6666666666667
"24642","cooperation",26,6,28.6666666666667
"142","key",16,1,28.6666666666667
"4318","key",40,2,28.6666666666667
"11960","key",26,3,28.6666666666667
"15266","key",30,4,28.6666666666667
"20058","key",43,5,28.6666666666667
"24712","key",17,6,28.6666666666667
"935","political",4,1,28.5
"4180","political",91,2,28.5
"12064","political",16,3,28.5
"15281","political",28,4,28.5
"20195","political",21,5,28.5
"24840","political",11,6,28.5
"516","surveillance",7,1,28.5
"4161","surveillance",119,2,28.5
"12231","surveillance",10,3,28.5
"15323","surveillance",23,4,28.5
"20598","surveillance",9,5,28.5
"25678","surveillance",3,6,28.5
"244","transparency",12,1,28.3333333333333
"4242","transparency",58,2,28.3333333333333
"11943","transparency",29,3,28.3333333333333
"15326","transparency",23,4,28.3333333333333
"20184","transparency",22,5,28.3333333333333
"24645","transparency",26,6,28.3333333333333
"161","environment",15,1,28.1666666666667
"4263","environment",51,2,28.1666666666667
"11988","environment",22,3,28.1666666666667
"15287","environment",27,4,28.1666666666667
"20068","environment",40,5,28.1666666666667
"24761","environment",14,6,28.1666666666667
"257","functions",11,1,28.1666666666667
"4198","functions",79,2,28.1666666666667
"12030","functions",18,3,28.1666666666667
"15466","functions",14,4,28.1666666666667
"20107","functions",31,5,28.1666666666667
"24727","functions",16,6,28.1666666666667
"107","approach",18,1,28
"4270","approach",49,2,28
"11921","approach",33,3,28
"15415","approach",16,4,28
"20067","approach",40,5,28
"24790","approach",12,6,28
"714","particular",5,1,28
"4231","particular",62,2,28
"11928","particular",32,3,28
"15345","particular",21,4,28
"20102","particular",32,5,28
"24734","particular",16,6,28
"52","seminar",28,1,28
"67","activities",24,1,27.8333333333333
"4334","activities",37,2,27.8333333333333
"11962","activities",25,3,27.8333333333333
"15348","activities",20,4,27.8333333333333
"20104","activities",31,5,27.8333333333333
"24626","activities",30,6,27.8333333333333
"685","growth",5,1,27.8333333333333
"4405","growth",30,2,27.8333333333333
"11980","growth",23,3,27.8333333333333
"15469","growth",14,4,27.8333333333333
"20009","growth",76,5,27.8333333333333
"24691","growth",19,6,27.8333333333333
"462","discussions",7,1,27.6666666666667
"4403","discussions",30,2,27.6666666666667
"11890","discussions",49,3,27.6666666666667
"15382","discussions",18,4,27.6666666666667
"20063","discussions",41,5,27.6666666666667
"24675","discussions",21,6,27.6666666666667
"61","technologies",26,1,27.5
"4322","technologies",40,2,27.5
"11983","technologies",23,3,27.5
"15476","technologies",14,4,27.5
"20054","technologies",45,5,27.5
"24718","technologies",17,6,27.5
"113","effective",18,1,27.1666666666667
"4287","effective",45,2,27.1666666666667
"11979","effective",23,3,27.1666666666667
"15279","effective",28,4,27.1666666666667
"20092","effective",33,5,27.1666666666667
"24724","effective",16,6,27.1666666666667
"2118","transparent",2,1,27.1666666666667
"4235","transparent",61,2,27.1666666666667
"12011","transparent",21,3,27.1666666666667
"15335","transparent",22,4,27.1666666666667
"20048","transparent",47,5,27.1666666666667
"24888","transparent",10,6,27.1666666666667
"560","inclusive",6,1,27
"4252","inclusive",54,2,27
"11959","inclusive",26,3,27
"15312","inclusive",24,4,27
"20073","inclusive",38,5,27
"24763","inclusive",14,6,27
"304","knowledge",10,1,27
"4269","knowledge",50,2,27
"12256","knowledge",9,3,27
"15199","knowledge",64,4,27
"20210","knowledge",20,5,27
"24914","knowledge",9,6,27
"267","provide",11,1,27
"4266","provide",51,2,27
"12103","provide",14,3,27
"15314","provide",24,4,27
"20065","provide",41,5,27
"24680","provide",21,6,27
"141","for",16,1,26.8
"4283","for",46,2,26.8
"12047","for",17,3,26.8
"15320","for",23,4,26.8
"20098","for",32,5,26.8
"539","decisions",6,1,26.5
"4212","decisions",70,2,26.5
"12027","decisions",18,3,26.5
"15738","decisions",8,4,26.5
"20106","decisions",31,5,26.5
"24643","decisions",26,6,26.5
"240","service",12,1,26.5
"4227","service",63,2,26.5
"12757","service",4,3,26.5
"15225","service",41,4,26.5
"20243","service",19,5,26.5
"24685","service",20,6,26.5
"73","time",23,1,26.5
"4244","time",57,2,26.5
"12054","time",17,3,26.5
"15325","time",23,4,26.5
"20116","time",29,5,26.5
"24886","time",10,6,26.5
"144","networks",16,1,26.3333333333333
"4347","networks",36,2,26.3333333333333
"12179","networks",11,3,26.3333333333333
"15272","networks",29,4,26.3333333333333
"20042","networks",50,5,26.3333333333333
"24733","networks",16,6,26.3333333333333
"87","sector",20,1,26.1666666666667
"4274","sector",49,2,26.1666666666667
"11995","sector",22,3,26.1666666666667
"15391","sector",18,4,26.1666666666667
"20074","sector",38,5,26.1666666666667
"24883","sector",10,6,26.1666666666667
"149","state",16,1,26.1666666666667
"4185","state",89,2,26.1666666666667
"12067","state",16,3,26.1666666666667
"15410","state",17,4,26.1666666666667
"20402","state",13,5,26.1666666666667
"25149","state",6,6,26.1666666666667
"128","fundamental",17,1,26
"4284","fundamental",46,2,26
"11905","fundamental",39,3,26
"15352","fundamental",20,4,26
"20130","fundamental",26,5,26
"24960","fundamental",8,6,26
"445","business",7,1,25.5
"4298","business",43,2,25.5
"12503","business",5,3,25.5
"15617","business",10,4,25.5
"20005","business",78,5,25.5
"24852","business",10,6,25.5
"340","diversity",9,1,25.5
"4292","diversity",44,2,25.5
"11952","diversity",27,3,25.5
"15238","diversity",37,4,25.5
"20123","diversity",27,5,25.5
"24902","diversity",9,6,25.5
"302","individuals",10,1,25.5
"4248","individuals",55,2,25.5
"12020","individuals",19,3,25.5
"15340","individuals",21,4,25.5
"20235","individuals",19,5,25.5
"24632","individuals",29,6,25.5
"199","needs",13,1,25.5
"4319","needs",40,2,25.5
"11992","needs",22,3,25.5
"15344","needs",21,4,25.5
"20055","needs",44,5,25.5
"24782","needs",13,6,25.5
"246","various",12,1,25.5
"4290","various",45,2,25.5
"12017","various",20,3,25.5
"15296","various",26,4,25.5
"20095","various",33,5,25.5
"24719","various",17,6,25.5
"908","necessary",4,1,25.3333333333333
"4230","necessary",62,2,25.3333333333333
"12034","necessary",18,3,25.3333333333333
"15333","necessary",22,4,25.3333333333333
"20108","necessary",31,5,25.3333333333333
"24752","necessary",15,6,25.3333333333333
"252","communication",11,1,25.1666666666667
"4223","communication",65,2,25.1666666666667
"12094","communication",14,3,25.1666666666667
"15267","communication",29,4,25.1666666666667
"20185","communication",21,5,25.1666666666667
"24820","communication",11,6,25.1666666666667
"261","interests",11,1,25.1666666666667
"4232","interests",61,2,25.1666666666667
"12079","interests",15,3,25.1666666666667
"15342","interests",21,4,25.1666666666667
"20100","interests",32,5,25.1666666666667
"24832","interests",11,6,25.1666666666667
"825","democratic",4,1,25
"4209","democratic",72,2,25
"11919","democratic",34,3,25
"15528","democratic",12,4,25
"20170","democratic",22,5,25
"25086","democratic",6,6,25
"414","possible",8,1,25
"4288","possible",45,2,25
"11953","possible",27,3,25
"15282","possible",28,4,25
"20109","possible",31,5,25
"24841","possible",11,6,25
"74","unesco",23,1,25
"6332","unesco",4,2,25
"15081","unesco",1,3,25
"15175","unesco",118,4,25
"22349","unesco",2,5,25
"26220","unesco",2,6,25
"46","actors",28,1,24.6666666666667
"4291","actors",44,2,24.6666666666667
"12113","actors",13,3,24.6666666666667
"15250","actors",33,4,24.6666666666667
"20152","actors",23,5,24.6666666666667
"24994","actors",7,6,24.6666666666667
"231","nature",12,1,24.5
"4305","nature",42,2,24.5
"11941","nature",29,3,24.5
"15332","nature",22,4,24.5
"20088","nature",34,5,24.5
"24974","nature",8,6,24.5
"456","continue",7,1,24.3333333333333
"4286","continue",45,2,24.3333333333333
"11984","continue",22,3,24.3333333333333
"15491","continue",13,4,24.3333333333333
"20043","continue",49,5,24.3333333333333
"24856","continue",10,6,24.3333333333333
"711","opportunity",5,1,24.3333333333333
"4359","opportunity",35,2,24.3333333333333
"11993","opportunity",22,3,24.3333333333333
