Location,Parent,Submissions,"Total Submissions"
"Technical Community (No to Differentiated Roles)","No to Differentiated Roles",7,16
"Technical Community (Roles are Not Specified)","Roles are Not Specified",0,16
"Adoption of Equal Footing",Topics,75,187
"Academia (Adoption of Equal Footing)","Adoption of Equal Footing",2,20
"Civil Society (Adoption of Equal Footing)","Adoption of Equal Footing",29,59
"Government (Yes to Equal Footing)","Adoption of Equal Footing",12,28
"Other (Yes to Equal Footing)","Adoption of Equal Footing",7,21
"Private Sector (Yes to Equal Footing)","Adoption of Equal Footing",18,43
"Technical Community (Yes to Equal Footing)","Adoption of Equal Footing",7,16
"Mention of *Democracy*",Topics,82,187
"Academia (Mentions *Democracy*)","Mention of *Democracy*",4,20
"Civil Society (Mentions *Democracy*)","Mention of *Democracy*",28,59
"Government (Mentions *Democracy*)","Mention of *Democracy*",18,28
"Other (Mentions *Democracy*)","Mention of *Democracy*",7,21
"Private Sector (Mentions *Democracy*)","Mention of *Democracy*",14,43
"Technical Community (Mentions *Democracy*)","Mention of *Democracy*",11,16
"Mention of *Net Neutrality*",Topics,45,187
"Academia (Mentions *Net Neutrality*)","Mention of *Net Neutrality*",7,20
"Civil Society (Mentions *Net Neutrality*)","Mention of *Net Neutrality*",17,59
"Government (Mentions *Net Neutrality*)","Mention of *Net Neutrality*",5,28
"Other (Mentions *Net Neutrality*)","Mention of *Net Neutrality*",3,21
"Private Sector (Mentions *Net Neutrality*)","Mention of *Net Neutrality*",8,43
"Technical Community (Mentions *Net Neutrality*)","Mention of *Net Neutrality*",5,16
"Mention of *Enhanced Cooperation*",Topics,81,187
"Academia (Mentions *Enhanced Cooperation*)","Mention of *Enhanced Cooperation*",11,20
"Civil Society (Mentions *Enhanced Cooperation*)","Mention of *Enhanced Cooperation*",22,59
"Government (Mentions *Enhanced Cooperation*)","Mention of *Enhanced Cooperation*",14,28
"Other (Mentions *Enhanced Cooperation*)","Mention of *Enhanced Cooperation*",6,21
"Private Sector (Mentions *Enhanced Cooperation*)","Mention of *Enhanced Cooperation*",20,43
"Technical Community (Mentions *Enhanced Cooperation*)","Mention of *Enhanced Cooperation*",8,16
"Mention of *Online Human Rights*",Topics,110,187
"Academia (Mentions *Online Human Rights*)","Mention of *Online Human Rights*",9,20
"Civil Society (Mentions *Online Human Rights*)","Mention of *Online Human Rights*",44,59
"Government (Mentions *Online Human Rights*)","Mention of *Online Human Rights*",24,28
"Other (Mentions *Online Human Rights*)","Mention of *Online Human Rights*",11,21
"Private Sector (Mentions *Online Human Rights*)","Mention of *Online Human Rights*",19,43
"Technical Community (Mentions *Online Human Rights*)","Mention of *Online Human Rights*",3,16
