Serial Number,Appearance of Multistakeholder,Sector,Organisation,Country
119,0,Academia,Cipit,"Kenya, Africa"
120,1,Technical Community,Internet Society (Isoc),Global
121,15,Government,Cyber Space National Center,Islamic Republic Of Iran
122,13,Technical Community,Independent Researcher,Usa
123,2,Technical Community,Internet Society (Isoc),Global
124,0,Technical Community,Internet Society (Isoc),Global
125,4,Civil Society,The Society For Knowledge Commons,India And Brazil
126,6,Academia,Pir Center,Russia
127,6,Academia,Pir Center,Russia
128,0,Technical Community,Internet Society (Isoc),Global
129,9,Private Sector,Coai,India
130,0,Private Sector,Associação Brasileira De Empresas De Tecnologia Da Informação E Comunicação,Brasil
131,7,Government,"Department Of Foreign Affairs, Trade And Development",Canada
132,7,Private Sector,Computer & Communications Industry Association (Ccia),"Us, Eu, Geneva"
133,5,Private Sector,Domain Name Association,Global
134,14,Other,"Facilitators Of The Internet &Jurisdiction Project, In Their Personal Capacity",France
135,6,Civil Society,Group Of Individuals And Civil Society Organizations From Latin America,Latin America
136,12,Government,Polish Ministry Of Administration And Digitization,"Poland, Europe"
137,0,Technical Community,Japan Network Information Center (Jpnic),Japan
138,0,Civil Society,Isoc Sn / Cacsup Sn,Senegal / Africa
139,3,Government,"Ministry Of Science, Ict And Future Planning (Msip)",Republic Of Korea
140,1,Private Sector,Data Security Council Of India (Dsci),India
141,0,Civil Society,Association For Progressive Communications,Global
142,0,Other,Société Européenne De L'Internet,"France, Europe"
143,8,Technical Community,"The Nro ( For Afrinic, Apnic, Arin, Lacnic, Ripe-Ncc)",Mauritius
144,0,Academia,University Of North Carolina-- Greensboro,Usa
145,3,Private Sector,Ers Consultores,Uruguay
146,9,Other,Cgi.Br - Brazilian Internet Steering Committee,Brazil
147,0,Academia,The University Of North Carolina-Greensboro,Usa
148,15,Other,Persian Igf,Iran
149,0,Other,Cgi.Br - Brazilian Internet Steering Committee,Brazil
150,2,Civil Society,Kenya Ict Action Network,Kenya
151,2,Civil Society,Isoc Tunisia,Tunisia
152,4,Civil Society,Isoc Tunisia,Tunisia
153,1,Civil Society,The Society For Knowledge Commons,India And Brasil
154,9,Private Sector,Abranet - Associacao Brasileira De Internet,Brazil
155,1,Other,Brazilian Internet Steering Committee - Cgi.Br,Brazil
156,2,Civil Society,Association For Progressive Communications (Apc) ,Apc Is An International Organisation With Its Executive Director'S Office In South Africa
157,1,Other,Connecting.Nyc Inc.,"New York, Usa"
158,0,Civil Society,Articulação De Organizações Da Sociedade Civil Brasileira,Brazil
159,8,Civil Society,Articulação De Organizações Da Sociedade Civil Brasileira,Brazil
160,0,Civil Society,Na,Italy
161,7,Private Sector,Sinditelebrasil,Other
162,19,Civil Society,Association For Progressive Communications (Apc),Apc Is An International Organisation With Its Executive Director'S Office In South Africa.
163,0,Technical Community,Lacnog,Latin America And The Caribbean
164,0,Technical Community,Lac-Ix (The Ixp Association For Latin America And The Caribbean),Latin America And The Caribbean
165,1,Other,Coordinator For Internet Governance,Directorate General Human Rights And Rule Of Law
166,0,Other,Ebu - European Broadcasting Union (Member Of Wbu),"Europe, Middle East And North Africa"
167,0,Private Sector,Axur,Brazil
168,0,Academia,Massachusetts Institute Of Technology,United States
169,1,Private Sector,Itibr - Instituto De Tecnologia Brasil,Brazil
170,4,Civil Society,"Institute For Infosocinomics, Tama Univ.",Japan
171,2,Civil Society,Collab CPR,United States
172,0,Private Sector,37 Entertainment And Cultural Organizations From Around The World (Full List Attached) Sector,"Africa, Asia-Pacific, Canada, Carribean, Central America, Europe, Mexico, South America, United States"
173,9,Civil Society,Center For Democracy & Technology,Usa
174,6,Technical Community,Nigeria Internet Registration Association,Nigeria
175,4,Civil Society,Intlnet,France
176,18,Academia,"Professor At Ist Of University Of Lisbon, Portugal; Panelist Of Icann’S Strategy Panel On The Role In The Internet Governance System",Portugal
177,2,Other,Icann Cross Community Working On Internet Governance,Global
178,0,Private Sector,.Co Internet S.A.S.,Colombia
179,6,Technical Community,Information Technology Industry Council,United States
180,7,Technical Community,Internet Governance Working Group/Iti,United States Of America
181,4,Civil Society,IT for Change,India
182,1,Other,"Independent Coordinator, Internet Distinction","United States, New York"
183,10,Technical Community,NIC México,Mexico
184,0,Academia,Massachusetts Institute Of Technology,Usa
185,2,Civil Society,Association For Progressive Communications,New Zealand
186,0,Civil Society,Global Geneva,"Geneva, Switzerland"
187,5,Government,Ministry Of Higher Education And Communication Technologies Of Tunisia,Tunisia
